,Name,median,mean,faces
0,Actaeon,42.5,50,235380
1,aphrodite,30,39.16666667,691324
2,Athena,15,13.33333333,2607965
3,Bearded_Man,35,43.33333333,998995
4,Beethoven,27.5,30.83333333,3499998
5,beethovencomplete,37.5,40,767009
6,Bird_Figurine,40,39.16666667,195904
7,Blue_Sea_Star,5,10.83333333,2380716
8,Bootleg_Eve,12.5,21.66666667,3300962
9,Carcinoplax_Suruguensis,30,30,1801260
10,Child_with_goose,20,21.66666667,2000012
11,Cupid_as_Shepherd_100MB,27.5,33.33333333,2052610
12,Dark_Finger_Reef_Crab,20,26.66666667,2141606
13,DH1_Chris,22.5,29.16666667,2093952
14,DH2_Socrates_and_Seneca,25,34.16666667,975030
15,DH3_Thucydides_and_Herodotus,22.5,26.66666667,2275856
16,Dragon_1,25,20.83333333,2349078
17,Dragon_2,17.5,21.66666667,2379164
18,Einstein,45,45,710782
19,Eisbar,45,45,2251386
20,Elbow_Crab,17.5,18.33333333,1422638
21,enfant_au_chien_threedscans,12.5,17.5,2153564
22,Ephebe,10,14.16666667,2791246
23,Fiddler_Crab,20,24.16666667,910530
24,Font_Reconstructed,25,34.16666667,1473702
25,Francois_Willeme_Bursche_Im_Sakko,10,15.83333333,3256356
26,Francois_Willeme_Selbsbildnis_LOW_170mb,22.5,24.16666667,3499926
27,Ghost_Crab,25,27.5,1270114
28,Goethe_Lifemask,5,14.16666667,2436665
29,Harpago_Chiragra,30,29.16666667,1653528
30,Hermanubis,12.5,13.33333333,2598994
31,Homo_Heidelbergensis_Model,42.5,43.33333333,415905
32,HornedHelmetDownload,20,18.33333333,2284828
33,Horse_Head,7.5,10.83333333,2499712
34,Human_Pelvis_Bone,37.5,35.83333333,126670
35,Jenner_Post,35,33.33333333,1329934
36,John_the_Baptist,30,30.83333333,1499996
37,johnwesley,42.5,36.66666667,350061
38,Le_Transi_De_Rene_De_Chalon,20,20,990210
39,Lion,47.5,53.33333333,101330
40,Lucius_Quinctius_Cincinnatus,32.5,32.5,3366062
41,Marble_Player,35,33.33333333,444187
42,Mars,32.5,30,620136
43,Mercury,25,29.16666667,1469892
44,Murex_Romosus,30,29.16666667,3519558
45,Napoleon,32.5,35,440512
46,Neptune_Iustinian_Funie,12.5,13.33333333,2687756
47,Nymph_Preparing_For_The_Bath,32.5,35,533439
48,Oceanus100,30,28.33333333,2000050
49,P,40,39.16666667,1998698
50,Pan_corrected_threedscans,15,18.33333333,2189680
51,Photosculpture,22.5,31.66666667,499996
52,Photoskulptur_Gutenberg,30,30.83333333,1327410
53,Plato,12.5,15.83333333,1086632
54,Poetsche_Photoskultur_Goethe,17.5,19.16666667,3189962
55,Portrait_Statue_Of_-Aule_Meteli,10,10.83333333,3580879
56,Puck_on_Toadstool_100MB,32.5,34.16666667,2048228
57,queenmargaretLCNUG1927656,27.5,29.16666667,773291
58,Ram,22.5,24.16666667,2577098
59,roasting_lower_Rez,17.5,18.33333333,2072362
60,Saxilby_Memorial_Helmet,42.5,43.33333333,282088
61,Scallop,22.5,20.83333333,1091268
62,sheep_version_06,17.5,21.66666667,3997268
63,shepherd-boy,22.5,24.16666667,2078014
64,Sleeping_Hermaphroditus,20,19.16666667,2152240
65,Sphinx_1,25,27.5,2795212
66,Sphinx_2,30,31.66666667,2680522
67,Sphinx_3,25,23.33333333,3309624
68,St_Hugh,42.5,40,102265
69,Statue_Bressant_1M_Poly,37.5,38.33333333,1065838
70,Statue_Delaunay_1M_Poly1,25,26.66666667,1068520
71,Statue-Provost_1M_Poly,40,39.16666667,1064356
72,Tennyson_Bust_Plaster,37.5,38.33333333,589888
73,tennysonbustmarble2,30,35,450546
74,The_Hunter_And_His_Dog,37.5,36.66666667,994380
75,Thetis,25,27.5,2000026
76,Thorne,12.5,15,2956742
77,Venus_Kissing_Cupid,30,30,960007
78,Womans_Head,37.5,35,346994
79,Xenophora,17.5,21.66666667,2381392
